fish_id,water_type,farm_type,farm_size,water_temperature,food_id
1,Freshwater,Pond,2.5,28,2
1,Freshwater,Pond,3.0,27,3
1,Freshwater,RAS,1.8,29,1
2,Freshwater,Pond,3.2,29,2
2,Freshwater,Pond,2.7,28,1
2,Freshwater,RAS,2.0,27,2
3,Freshwater,Tank,1.5,30,1
3,Freshwater,Pond,2.0,29,1
3,Freshwater,RAS,1.2,28,2
4,Freshwater,Pond,4.5,27,2
4,Freshwater,Lake,3.8,26,3
4,Freshwater,RAS,2.5,25,1
5,Freshwater,Pond,5.0,26,3
5,Freshwater,Pond,4.2,27,3
5,Freshwater,RAS,2.3,25,4
6,Freshwater,RAS,2.0,25,1
6,Freshwater,Pond,3.5,26,1
6,Freshwater,Pond,4.1,27,2
7,Freshwater,Pond,3.5,28,3
7,Freshwater,Pond,3.0,27,3
7,Freshwater,RAS,2.1,26,2
8,Freshwater,Tank,2.3,27,1
8,Freshwater,Pond,3.0,28,1
8,Freshwater,RAS,1.9,26,2
9,Freshwater,Cage,4.0,29,5
9,Freshwater,Tank,2.2,30,5
9,Freshwater,Pond,3.3,28,5
10,Freshwater,Tank,1.8,30,5
10,Freshwater,Pond,2.5,29,5
10,Freshwater,RAS,1.6,28,2
11,Freshwater,Pond,3.2,27,2
11,Freshwater,Pond,3.5,28,2
11,Freshwater,RAS,2.0,26,1
12,Freshwater,Cage,6.0,28,2
12,Freshwater,Pond,5.2,27,2
12,Freshwater,RAS,2.5,26,1
13,Freshwater,Tank,1.5,29,5
13,Freshwater,Pond,2.4,28,5
13,Freshwater,RAS,1.7,27,2
14,Freshwater,RAS,2.2,24,1
14,Freshwater,Pond,3.0,23,2
14,Freshwater,Tank,1.8,22,1
15,Freshwater,Pond,1.0,26,1
15,Freshwater,Pond,1.5,27,1
15,Freshwater,RAS,1.2,25,2
16,Freshwater,Cage,5.5,28,5
16,Freshwater,Pond,4.8,27,5
16,Freshwater,RAS,2.3,26,2
17,Marine,Cage,7.0,22,2
17,Marine,Cage,8.0,21,2
17,Marine,RAS,3.5,20,2
18,Freshwater,RAS,2.0,20,2
18,Freshwater,RAS,2.5,19,2
18,Freshwater,Pond,3.0,21,1
19,Freshwater,RAS,1.7,19,2
19,Freshwater,RAS,2.0,18,2
19,Freshwater,Pond,2.5,20,1
20,Brackish,Pond,4.0,30,6
20,Brackish,Pond,3.5,29,6
20,Brackish,Cage,5.0,28,7
21,Brackish,Cage,6.5,29,7
21,Brackish,Cage,7.0,28,7
21,Brackish,Pond,4.5,30,6
22,Brackish,Pond,3.8,28,6
22,Brackish,Pond,4.0,27,6
22,Brackish,Cage,5.2,29,7
23,Brackish,Pond,2.6,29,6
23,Brackish,Pond,3.0,28,6
23,Brackish,Cage,4.0,30,7
24,Freshwater,Tank,1.4,30,1
24,Freshwater,Pond,2.0,29,1
24,Freshwater,RAS,1.6,28,2
25,Freshwater,Pond,5.5,27,5
25,Freshwater,Pond,4.8,26,5
25,Freshwater,RAS,2.5,25,2
26,Freshwater,Tank,0.8,25,3
26,Freshwater,Pond,1.2,26,3
26,Freshwater,RAS,1.0,24,1
27,Freshwater,Pond,1.2,26,3
27,Freshwater,Pond,1.5,27,3
27,Freshwater,RAS,1.3,25,1
28,Freshwater,RAS,2.0,24,5
28,Freshwater,Pond,3.0,25,5
28,Freshwater,Tank,1.8,23,2
29,Freshwater,Tank,1.5,27,6
29,Freshwater,Pond,2.2,28,6
29,Freshwater,RAS,1.4,26,4
30,Freshwater,Tank,0.9,28,4
30,Freshwater,Tank,1.1,27,4
30,Freshwater,Pond,1.5,29,3
31,Freshwater,Pond,3.3,29,5
31,Freshwater,Pond,4.0,28,5
31,Freshwater,RAS,2.0,27,2
32,Freshwater,Cage,8.0,30,5
32,Freshwater,Cage,7.5,29,5
32,Freshwater,Pond,6.0,28,2
33,Freshwater,Pond,4.4,28,4
33,Freshwater,Pond,3.8,27,4
33,Freshwater,RAS,2.2,26,1
34,Freshwater,RAS,2.1,21,2
34,Freshwater,RAS,2.5,20,2
34,Freshwater,Pond,3.0,22,1
35,Marine,Cage,9.0,23,2
35,Marine,Cage,8.5,24,2
35,Marine,RAS,4.0,22,2
36,Marine,Cage,7.5,24,2
36,Marine,Cage,6.8,25,2
36,Marine,RAS,3.5,23,2
37,Marine,Cage,6.8,25,2
37,Marine,Cage,6.0,26,2
37,Marine,RAS,3.2,24,2
38,Brackish,Pond,4.2,29,7
38,Brackish,Pond,3.8,28,6
38,Brackish,Cage,5.0,30,7
39,Marine,Cage,5.0,26,2
39,Marine,Cage,4.8,27,2
39,Marine,RAS,2.5,25,2
40,Marine,Cage,6.0,27,7
40,Marine,Cage,5.5,28,7
40,Marine,RAS,3.0,26,5
41,Marine,Tank,1.1,26,7
41,Marine,Tank,1.3,27,7
41,Marine,RAS,1.0,25,5
42,Marine,Cage,5.6,28,7
42,Marine,Cage,6.2,29,7
42,Marine,RAS,3.0,27,5
43,Marine,Cage,7.2,29,5
43,Marine,Cage,6.8,28,5
43,Marine,RAS,3.5,27,2
44,Marine,RAS,2.3,18,2
44,Marine,RAS,2.5,17,2
44,Marine,Cage,4.0,19,5
45,Marine,RAS,3.0,16,2
45,Marine,RAS,3.5,15,2
45,Marine,Cage,5.0,17,5
46,Marine,Cage,4.8,24,5
46,Marine,Cage,4.5,23,5
46,Marine,RAS,2.2,22,2
47,Marine,Cage,5.2,25,5
47,Marine,Cage,5.0,26,5
47,Marine,RAS,2.5,24,2
48,Marine,Cage,10.0,26,5
48,Marine,Cage,9.5,27,5
48,Marine,RAS,4.0,25,2
49,Marine,Tank,1.0,27,6
49,Marine,Tank,1.2,26,6
49,Marine,RAS,0.9,25,5
50,Marine,Cage,3.5,28,5
50,Marine,Cage,3.0,27,5
50,Marine,RAS,2.0,26,2